Record,date,time,STALL1,STALL1,STALL1 DIG,DUKE,DUKE,DUKE DIG,,,
132,7/25/2012,3:54:49,10.3,0:12:06,9373,0.00E+00,0:00:56,23,12:49:23,,
133,7/25/2012,3:54:54,10.3,0:12:11,9352,0.00E+00,0:00:56,22,12:49:28,,
134,7/25/2012,3:54:59,10.4,0:12:16,9418,0.00E+00,0:00:56,21,12:49:33,,
135,7/25/2012,3:55:04,10.1,0:12:21,9217,0.00E+00,0:00:56,23,12:49:38,,
136,7/25/2012,3:55:09,10.3,0:12:26,9395,0.00E+00,0:00:56,17,12:49:43,,
137,7/25/2012,3:55:14,10.3,0:12:31,9406,0.00E+00,0:00:56,22,12:49:48,,
138,7/25/2012,3:55:19,10.5,0:12:36,9516,0.00E+00,0:00:56,26,12:49:53,,
139,7/25/2012,3:55:25,10.5,0:12:41,9560,0.00E+00,0:00:56,21,12:49:59,,
140,7/25/2012,3:55:30,10.5,0:12:46,9567,0.00E+00,0:00:56,21,12:50:04,,
141,7/25/2012,3:55:35,10.5,0:12:51,9560,0.00E+00,0:00:56,23,12:50:09,,
142,7/25/2012,3:55:40,10.5,0:12:57,9556,0.00E+00,0:00:56,22,12:50:14,,
143,7/25/2012,3:55:45,10.5,0:13:02,9553,0.00E+00,0:00:56,26,12:50:19,,
144,7/25/2012,3:55:50,5.73,0:13:07,5175,6.18E-01,0:00:56,563,12:50:24,,
145,7/25/2012,4:09:59,10.1,0:13:12,9210,0.00E+00,0:00:58,25,13:04:33,,
146,7/25/2012,4:10:26,10.8,0:13:22,9800,0.00E+00,0:01:00,21,13:05:00,,
147,7/25/2012,4:11:06,10.2,0:13:29,9242,0.00E+00,0:01:01,18,13:05:40,,
148,7/25/2012,4:11:12,10.2,0:13:34,9242,0.00E+00,0:01:01,23,13:05:46,,
149,7/25/2012,4:11:17,10.4,0:13:39,9490,0.00E+00,0:01:01,18,13:05:51,,
150,7/25/2012,4:11:22,10.3,0:13:44,9387,0.00E+00,0:01:01,22,13:05:56,,
